name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256
Amberton University,Texas,TX,Private,4 Year,NA,12840,12840,12840,12840
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887
Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400
Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136
Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844
Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883
Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366
Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402
Carson-Newman University,Tennessee,TN,Private,4 Year,8810,27900,36710,27900,36710
Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540
Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232
Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920
Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364
Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,NA,17440,17440,17440,17440
Charter Oak State College,Connecticut,CT,Public,4 Year,NA,10161,10161,13101,13101
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960
Clark College,Washington,WA,Public,2 Year,NA,4287,4287,9718,9718
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318
Cleary University,Michigan,MI,Private,4 Year,9600,20250,29850,20250,29850
Cleveland State University,Ohio,OH,Public,4 Year,13560,10625,24185,14992,28552
Coe College,Iowa,IA,Private,4 Year,9480,45000,54480,45000,54480
Colby College,Maine,ME,Private,4 Year,14190,55210,69400,55210,69400
College for Creative Studies,Michigan,MI,Private,4 Year,8800,44110,52910,44110,52910
College of Saint Mary,Nebraska,NE,Private,4 Year,7700,20350,28050,20350,28050
College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520,52770,67290,52770,67290
College of William and Mary,Virginia,VA,Public,4 Year,12236,23400,35636,44701,56937
Colorado Christian University,Colorado,CO,Private,4 Year,11846,31866,43712,31866,43712
Colorado College,Colorado,CO,Private,4 Year,12512,55470,67982,55470,67982
Colorado Mesa University,Colorado,CO,Public,4 Year,10925,9243,20168,22440,33365
Colorado School of Mines,Colorado,CO,Public,4 Year,13169,18964,32133,38584,51753
Columbus State University,Georgia,GA,Public,4 Year,9880,7200,17080,20682,30562
Connecticut College,Connecticut,CT,Private,4 Year,15150,54820,69970,54820,69970
Corban University,Oregon,OR,Private,4 Year,10228,33040,43268,33040,43268
Cornell College,Iowa,IA,Private,4 Year,9384,42299,51683,42299,51683
Cornish College of the Arts,Washington,WA,Private,4 Year,12400,41642,54042,41642,54042
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590
Creighton University,Nebraska,NE,Private,4 Year,11036,39916,50952,39916,50952
Cumberland University,Tennessee,TN,Private,4 Year,9290,22890,32180,22890,32180
Delaware State University,Delaware,DE,Public,4 Year,12190,7868,20058,16904,29094
Delta State University,Mississippi,MS,Public,4 Year,7722,7246,14968,7246,14968
Denison University,Ohio,OH,Private,4 Year,12710,51960,64670,51960,64670
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724
Dickinson College,Pennsylvania,PA,Private,4 Year,13698,54661,68359,54661,68359
Dillard University,Louisiana,LA,Private,4 Year,10100,18099,28199,18099,28199
Dordt College,Iowa,IA,Private,4 Year,9590,30870,40460,30870,40460
Drake University,Iowa,IA,Private,4 Year,10528,41396,51924,41396,51924
Drexel University,Pennsylvania,PA,Private,4 Year,14079,53279,67358,53279,67358
Drury University,Missouri,MO,Private,4 Year,8096,28365,36461,28365,36461
Earlham College,Indiana,IN,Private,4 Year,10400,46450,56850,46450,56850
East Central University,Oklahoma,OK,Public,4 Year,5514,6810,12324,17700,23214
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762
Emporia State University,Kansas,KS,Public,4 Year,8912,6758,15670,20675,29587
Fairfield University,Connecticut,CT,Private,4 Year,14710,48350,63060,48350,63060
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440
Ferris State University,Michigan,MI,Public,4 Year,9894,12630,22524,12630,22524
Ferrum College,Virginia,VA,Private,4 Year,11500,34175,45675,34175,45675
Fisk University,Tennessee,TN,Private,4 Year,10790,21480,32270,21480,32270
Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,10594,5827,16421,17768,28362
Florida Atlantic University,Florida,FL,Public,4 Year,11896,6039,17935,21595,33491
Florida Institute of Technology,Florida,FL,Private,4 Year,12880,41850,54730,41850,54730
Florida International University,Florida,FL,Public,4 Year,10882,6558,17440,18956,29838
Florida State University,Florida,FL,Public,4 Year,10816,6516,17332,21683,32499
Fort Hays State University,Kansas,KS,Public,4 Year,8300,5133,13433,15201,23501
Fort Lewis College,Colorado,CO,Public,4 Year,9878,9040,18918,19696,29574
Franklin College,Indiana,IN,Private,4 Year,9946,32010,41956,32010,41956
Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260,21950,30210,21950,30210
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284
Goldey-Beacom College,Delaware,DE,Private,4 Year,6400,24300,30700,24300,30700
Gonzaga University,Washington,WA,Private,4 Year,11944,43210,55154,43210,55154
Goucher College,Maryland,MD,Private,4 Year,14506,44300,58806,44300,58806
Grambling State University,Louisiana,LA,Public,4 Year,7192,7435,14627,16458,23650
Green Mountain College,Vermont,VT,Private,4 Year,11722,37002,48724,37002,48724
Grinnell College,Iowa,IA,Private,4 Year,12810,52392,65202,52392,65202
Grove City College,Pennsylvania,PA,Private,4 Year,9770,17930,27700,17930,27700
Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910,45400,55310,45400,55310
Hamline University,Minnesota,MN,Private,4 Year,10358,41298,51656,41298,51656
Hampden-Sydney College,Virginia,VA,Private,4 Year,13558,45746,59304,45746,59304
Hampton University,Virginia,VA,Private,4 Year,11778,26702,38480,26702,38480
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003
Hastings College,Nebraska,NE,Private,4 Year,9700,30050,39750,30050,39750
Haverford College,Pennsylvania,PA,Private,4 Year,16402,54592,70994,54592,70994
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074
Heritage University,Washington,WA,Private,4 Year,NA,18124,18124,18124,18124
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320
Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192
Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150
Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620
Indiana Institute of Technology,Indiana,IN,Private,4 Year,10020,26900,36920,26900,36920
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426
Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112
Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245
Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750
James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508
Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152
John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214
Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100
Kalamazoo College,Michigan,MI,Private,4 Year,9756,48516,58272,48516,58272
Kansas City Art Institute,Missouri,MO,Private,4 Year,10400,38400,48800,38400,48800
Kansas State University,Kansas,KS,Public,4 Year,9680,10263,19943,25767,35447
Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500,29500,39000,29500,39000
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625
Kentucky Christian University,Kentucky,KY,Private,4 Year,8270,19820,28090,19820,28090
Kentucky State University,Kentucky,KY,Public,4 Year,6690,8090,14780,19390,26080
Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764,26440,36204,26440,36204
Kenyon College,Ohio,OH,Private,4 Year,12510,55930,68440,55930,68440
Kettering College,Ohio,OH,Private,4 Year,4100,16200,20300,16200,20300
Kettering University,Michigan,MI,Private,4 Year,8240,43490,51730,43490,51730
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424
La Salle University,Pennsylvania,PA,Private,4 Year,15080,30560,45640,30560,45640
Lafayette College,Pennsylvania,PA,Private,4 Year,15640,52880,68520,52880,68520
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454
Lake Superior State University,Michigan,MI,Public,4 Year,9882,12090,21972,12090,21972
Lakeview College of Nursing,Illinois,IL,Private,4 Year,NA,16320,16320,16320,16320
Lamar University,Texas,TX,Public,4 Year,8920,10192,19112,22642,31562
Langston University,Oklahoma,OK,Public,4 Year,9476,5950,15426,13300,22776
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530
LeTourneau University,Texas,TX,Private,4 Year,9970,30210,40180,30210,40180
Lewis & Clark College,Oregon,OR,Private,4 Year,12490,50934,63424,50934,63424
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028
Lewis-Clark State College,Idaho,ID,Public,4 Year,7580,6618,14198,19236,26816
Lindenwood University,Missouri,MO,Private,4 Year,9000,17600,26600,17600,26600
Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385,24850,34235,24850,34235
Lipscomb University,Tennessee,TN,Private,4 Year,12652,32144,44796,32144,44796
Longwood University,Virginia,VA,Public,4 Year,11746,13340,25086,29300,41046
Loras College,Iowa,IA,Private,4 Year,8275,34184,42459,34184,42459
Louisiana College,Louisiana,LA,Private,4 Year,5618,17000,22618,17000,22618
Louisiana Tech University,Louisiana,LA,Public,4 Year,6495,9645,16140,18558,25053
Loyola Marymount University,California,CA,Private,4 Year,14490,48522,63012,48522,63012
Loyola University Chicago,Illinois,IL,Private,4 Year,14480,44048,58528,44048,58528
Loyola University Maryland,Maryland,MD,Private,4 Year,14430,49085,63515,49085,63515
Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380,39692,53072,39692,53072
Luther College,Iowa,IA,Private,4 Year,9460,42290,51750,42290,51750
Lyndon State College,Vermont,VT,Public,4 Year,10598,12074,22672,25394,35992
Lynn University,Florida,FL,Private,4 Year,12170,38210,50380,38210,50380
Lyon College,Arkansas,AR,Private,4 Year,9130,28790,37920,28790,37920
Macalester College,Minnesota,MN,Private,4 Year,12156,54344,66500,54344,66500
Maharishi University of Management,Iowa,IA,Private,4 Year,7400,16530,23930,16530,23930
Maine College of Art,Maine,ME,Private,4 Year,11890,35000,46890,35000,46890
Maine Maritime Academy,Maine,ME,Public,4 Year,10310,13478,23788,27098,37408
Manchester University,Indiana,IN,Private,4 Year,9580,32758,42338,32758,42338
Manhattan Christian College,Kansas,KS,Private,4 Year,9092,15850,24942,15850,24942
Marietta College,Ohio,OH,Private,4 Year,11320,36040,47360,36040,47360
Marquette University,Wisconsin,WI,Private,4 Year,12720,41870,54590,41870,54590
Maryland Institute College of Art,Maryland,MD,Private,4 Year,13280,48630,61910,48630,61910
Marylhurst University,Oregon,OR,Private,4 Year,NA,20835,20835,20835,20835
Marymount University,Virginia,VA,Private,4 Year,13190,31466,44656,31466,44656
Maryville College,Tennessee,TN,Private,4 Year,11424,34880,46304,34880,46304
Maryville University of Saint Louis,Missouri,MO,Private,4 Year,10088,28470,38558,28470,38558
Massachusetts Institute of Technology,Massachusetts,MA,Private,4 Year,15510,51832,67342,51832,67342
Massachusetts Maritime Academy,Massachusetts,MA,Public,4 Year,12675,9724,22399,26102,38777
McDaniel College,Maryland,MD,Private,4 Year,11430,43260,54690,43260,54690
McNeese State University,Louisiana,LA,Public,4 Year,8704,7859,16563,18934,27638
McPherson College,Kansas,KS,Private,4 Year,8788,28951,37739,28951,37739
MCPHS University,Massachusetts,MA,Private,4 Year,16400,32705,49105,32705,49105
Menlo College,California,CA,Private,4 Year,14225,42800,57025,42800,57025
Mercer University,Georgia,GA,Private,4 Year,11616,36894,48510,36894,48510
Merrimack College,Massachusetts,MA,Private,4 Year,15845,41760,57605,41760,57605
Methodist College,Illinois,IL,Private,4 Year,7440,20800,28240,20800,28240
Metropolitan State University,Minnesota,MN,Public,4 Year,NA,7879,7879,14980,14980
Metropolitan State University of Denver,Colorado,CO,Public,4 Year,NA,7665,7665,20847,20847
Michigan State University,Michigan,MI,Public,4 Year,10322,14460,24782,39765,50087
Michigan Technological University,Michigan,MI,Public,4 Year,10756,15646,26402,33726,44482
Mid-America Christian University,Oklahoma,OK,Private,4 Year,8036,18334,26370,18334,26370
MidAmerica Nazarene University,Kansas,KS,Private,4 Year,8708,30736,39444,30736,39444
Middle Georgia State University,Georgia,GA,Public,4 Year,9080,4608,13688,13568,22648
Middle Tennessee State University,Tennessee,TN,Public,4 Year,9436,9206,18642,28364,37800
Middlebury College,Vermont,VT,Private,4 Year,15530,54450,69980,54450,69980
Midland University,Nebraska,NE,Private,4 Year,8776,32558,41334,32558,41334
Midway University,Kentucky,KY,Private,4 Year,8480,24650,33130,24650,33130
Miles College,Alabama,AL,Private,4 Year,7042,11604,18646,11604,18646
Milligan College,Tennessee,TN,Private,4 Year,7100,33700,40800,33700,40800
Millsaps College,Mississippi,MS,Private,4 Year,13730,39910,53640,39910,53640
Milwaukee School of Engineering,Wisconsin,WI,Private,4 Year,10389,40749,51138,40749,51138
Minneapolis College of Art and Design,Minnesota,MN,Private,4 Year,5610,39210,44820,39210,44820
Mississippi College,Mississippi,MS,Private,4 Year,10300,18026,28326,18026,28326
Mississippi State University,Mississippi,MS,Public,4 Year,10090,8760,18850,23360,33450
Mississippi University for Women,Mississippi,MS,Public,4 Year,7424,7040,14464,7040,14464
Mississippi Valley State University,Mississippi,MS,Public,4 Year,8043,6570,14613,6570,14613
Missouri University of Science and Technology,Missouri,MO,Public,4 Year,10274,10169,20443,28499,38773
Missouri Western State University,Missouri,MO,Public,4 Year,NA,6466,6466,14137,14137
Montana State University,Montana,MT,Public,4 Year,10100,7421,17521,24849,34949
Montana Tech of the University of Montana,Montana,MT,Public,4 Year,9656,7411,17067,22574,32230
Morehead State University,Kentucky,KY,Public,4 Year,9960,9170,19130,13646,23606
Morehouse College,Georgia,GA,Private,4 Year,13438,27574,41012,27574,41012
Morningside College,Iowa,IA,Private,4 Year,9610,31530,41140,31530,41140
Mount Carmel College of Nursing,Ohio,OH,Private,4 Year,5000,13907,18907,13907,18907
Mount Mercy University,Iowa,IA,Private,4 Year,9534,31798,41332,31798,41332
Mount St. Mary's University,Maryland,MD,Private,4 Year,13075,41350,54425,41350,54425
Muhlenberg College,Pennsylvania,PA,Private,4 Year,11765,52595,64360,52595,64360
Multnomah University,Oregon,OR,Private,4 Year,8870,25900,34770,25900,34770
Murray State University,Kentucky,KY,Public,4 Year,9190,9084,18274,24540,33730
Nazarene Bible College,Colorado,CO,Private,4 Year,NA,14700,14700,14700,14700
Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,9622,34202,43824,34202,43824
New College of Florida,Florida,FL,Public,4 Year,9264,6919,16183,29944,39208
New Orleans Baptist Theological Seminary,Louisiana,LA,Private,4 Year,2625,7775,10400,7775,10400
